_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67e816da1d4f6d42a85250c1,,60.63,88.16,60.63,57.03,133;0;0;0,words,25,-1,1,26.32,0,2.41,false,false,english,none,normal,false,false,false,,1743263450000
67e662c5ef75c1d9dc01f8d5,,61.32,88.74,61.32,61.31,134;0;0;0,words,25,-1,0,26.22,0,0,false,false,english,none,normal,false,false,false,,1743151813000
67e662a9ef75c1d9dc01f7e1,,60.82,92.86,60.82,59.9,117;0;0;0,words,25,-1,7,23.09,0,42.81,false,false,english,none,normal,false,false,false,,1743151785000
67e6625fef75c1d9dc01f51c,,51.94,85.71,51.94,44.33,130;0;0;0,words,25,-1,24,30.04,0,87.81,false,false,english,none,normal,false,false,false,,1743151711000
67e661d2ef75c1d9dc01efcb,,60.24,91.57,60.24,69.57,150;0;0;0,words,25,-1,22,29.88,0,75.99,false,false,english,none,normal,false,false,false,,1743151570000
67e66108ef75c1d9dc01e7dc,,57.78,87.42,57.78,58.93,136;0;0;0,words,25,-1,1,28.25,0,4.38,false,false,english,none,normal,false,false,false,,1743151368000
67dd8df0c756633072de802f,,55.48,86.54,55.89,64.32,133;0;0;3,words,25,-1,2,28.77,0,5.62,false,false,english,none,normal,false,false,false,,1742573040000
67dd8dcbc756633072de7df4,,55.48,86.36,55.48,63.12,129;0;0;0,words,25,-1,0,27.9,0,0,false,false,english,none,normal,false,false,false,,1742573003000
67dd8daec756633072de7c08,,57.88,90.34,57.88,64.94,124;0;0;0,words,25,-1,6,25.71,0,17.51,false,false,english,none,normal,false,false,false,,1742572974000
67dd8d7ac756633072de78c9,,64.06,94.24,64.06,65.48,131;0;0;0,words,25,-1,1,24.54,0,3.33,false,false,english,none,normal,false,false,false,,1742572922000
67dd8d5cc756633072de76f0,,51.57,85.71,51.57,63.39,139;0;0;0,words,25,-1,12,32.34,0,82.17,false,false,english,none,normal,false,false,false,,1742572892000
67dd8cdbc756633072de6f14,,63,92.25,63,61.93,129;0;0;0,words,25,-1,10,24.57,0,41.97,false,false,english,none,normal,false,false,false,,1742572763000
